temperature_2m,relative_humidity_2m,precipitation_probability,wind_speed_10m,forecast_time,temperature_band,rain_risk_level,comfort_score,latitude,longitude,timezone,ingested_at_utc
35.5,53,37,15.6,2026-06-02 14:00:00,hot,medium,47.1,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
34.0,57,41,15.8,2026-06-02 15:00:00,hot,medium,50.7,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
33.5,59,41,14.1,2026-06-02 16:00:00,hot,medium,52.65,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
33.0,60,37,13.9,2026-06-02 17:00:00,hot,medium,54.05,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
32.3,61,28,11.6,2026-06-02 18:00:00,hot,low,57.1,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
32.0,64,15,11.7,2026-06-02 19:00:00,hot,low,57.35,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
32.0,66,6,11.2,2026-06-02 20:00:00,hot,low,57.2,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
31.5,69,4,11.4,2026-06-02 21:00:00,hot,low,58.0,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
30.5,70,5,13.0,2026-06-02 22:00:00,hot,low,60.0,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.6,73,6,10.0,2026-06-02 23:00:00,warm,low,63.6,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
